date,open,high,low,close,adj close,volume
2003-08-12,714.380005,717.619995,701.630005,716.190002,716.190002,0
2003-08-13,716.599976,721.900024,711.289978,718.750000,718.750000,0
2003-08-14,718.750000,723.869995,712.929993,720.330017,720.330017,0
2003-08-15,719.820007,719.820007,713.210022,713.659973,713.659973,0
2003-08-18,null,null,null,null,null,null
2003-08-19,714.070007,714.640015,687.580017,687.979980,687.979980,0
2003-08-20,687.789978,687.789978,661.239990,674.630005,674.630005,0
2003-08-21,675.500000,698.380005,675.179993,697.559998,697.559998,0
2003-08-22,697.969971,703.969971,683.109985,683.869995,683.869995,0
2003-08-25,682.979980,691.929993,682.289978,690.650024,690.650024,0
2003-08-26,691.549988,697.609985,691.549988,697.299988,697.299988,0
2003-08-27,697.830017,715.059998,697.830017,713.039978,713.039978,0
2003-08-28,709.150024,718.820007,709.150024,714.820007,714.820007,0
2003-08-29,715.679993,716.000000,708.159973,713.330017,713.330017,0
2003-09-01,713.330017,713.330017,708.109985,712.429993,712.429993,0
2003-09-02,713.070007,729.150024,713.070007,724.979980,724.979980,0
2003-09-03,724.979980,738.979980,724.979980,733.750000,733.750000,0
2003-09-04,736.349976,748.289978,731.570007,734.250000,734.250000,0
2003-09-05,736.729980,753.690002,736.729980,750.869995,750.869995,0
2003-09-08,749.960022,758.840027,742.770020,755.000000,755.000000,0
2003-09-09,754.309998,754.309998,725.030029,727.330017,727.330017,0
2003-09-10,727.539978,765.400024,727.539978,762.609985,762.609985,0
2003-09-11,763.169983,779.190002,758.190002,761.929993,761.929993,0
2003-09-12,761.929993,765.929993,758.890015,764.650024,764.650024,0
2003-09-15,765.080017,778.640015,764.359985,778.640015,778.640015,0
2003-09-16,778.640015,796.450012,771.989990,796.450012,796.450012,0
2003-09-17,796.729980,803.919983,791.489990,799.960022,799.960022,0
2003-09-18,798.000000,807.469971,793.780029,798.090027,798.090027,0
2003-09-19,797.030029,797.030029,776.440002,781.690002,781.690002,0
2003-09-22,779.090027,794.260010,771.169983,794.260010,794.260010,0
2003-09-23,793.619995,801.520020,791.469971,794.450012,794.450012,0
2003-09-24,794.450012,812.739990,793.359985,811.650024,811.650024,0
2003-09-25,811.429993,815.809998,800.440002,803.890015,803.890015,0
2003-09-26,804.140015,816.200012,794.460022,810.260010,810.260010,0
2003-09-29,810.760010,820.169983,810.760010,820.169983,820.169983,0
2003-09-30,820.280029,828.559998,817.130005,827.690002,827.690002,0
2003-10-01,829.200012,833.320007,818.890015,827.909973,827.909973,0
2003-10-02,828.250000,836.479980,828.250000,831.750000,831.750000,0
2003-10-03,831.750000,840.859985,827.710022,830.159973,830.159973,0
2003-10-06,831.109985,836.520020,822.460022,830.960022,830.960022,0
2003-10-07,832.400024,839.880005,828.960022,831.219971,831.219971,0
2003-10-08,830.710022,847.099976,825.960022,845.599976,845.599976,0
2003-10-09,846.080017,865.919983,846.080017,862.539978,862.539978,0
2003-10-10,862.539978,872.179993,859.919983,863.440002,863.440002,0
2003-10-13,null,null,null,null,null,null
2003-10-14,864.460022,882.419983,864.460022,864.890015,864.890015,0
2003-10-15,865.690002,874.320007,865.690002,869.599976,869.599976,0
2003-10-16,869.700012,875.229980,864.809998,867.219971,867.219971,0
2003-10-17,868.750000,880.789978,868.750000,877.840027,877.840027,0
2003-10-20,879.359985,904.760010,879.359985,902.830017,902.830017,0
2003-10-21,903.390015,919.469971,903.390015,913.909973,913.909973,0
2003-10-22,914.359985,926.299988,887.859985,891.869995,891.869995,0
2003-10-23,891.520020,897.239990,880.179993,891.729980,891.729980,0
2003-10-24,892.059998,924.780029,892.059998,923.729980,923.729980,0
2003-10-27,924.739990,936.309998,915.369995,917.979980,917.979980,0
2003-10-28,917.179993,939.739990,912.710022,939.619995,939.619995,0
2003-10-29,939.450012,950.799988,935.549988,942.989990,942.989990,0
2003-10-30,942.979980,958.700012,935.679993,938.210022,938.210022,0
2003-10-31,936.299988,936.299988,923.880005,929.890015,929.890015,0
2003-11-03,929.890015,950.789978,929.890015,945.299988,945.299988,0
2003-11-04,946.869995,956.919983,943.869995,954.530029,954.530029,0
2003-11-05,955.549988,965.909973,939.409973,965.909973,965.909973,0
2003-11-06,null,null,null,null,null,null
2003-11-07,965.909973,969.010010,959.369995,963.059998,963.059998,0
