underlying,underlying_last,optionroot,type,expiration,quotedate,strike,last,bid,ask,volume,openinterest,ivbid,ivask,delta,gamma
MELI,37.03,QMB080621C00025000,call,06/21/2008,01/31/2008,25.0,17.0,15.6,16.4,0,28,1.065,1.2,0.8241,0.0099
MELI,37.03,QMB080621P00025000,put,06/21/2008,01/31/2008,25.0,3.8,3.5,3.8,2,153,1.1168,1.1671,-0.1758,0.0099
MELI,37.03,QMB080621C00030000,call,06/21/2008,01/31/2008,30.0,13.1,12.7,13.5,15,64,1.043,1.1523,0.7492,0.0125
MELI,37.03,QMB080621P00030000,put,06/21/2008,01/31/2008,30.0,5.8,5.5,5.9,2,134,1.0817,1.1362,-0.2508,0.0126
MELI,37.03,QMB080621C00035000,call,06/21/2008,01/31/2008,35.0,11.0,10.5,10.9,6,32,1.0515,1.099,0.6709,0.0145
MELI,37.03,QMB080621P00035000,put,06/21/2008,01/31/2008,35.0,8.1,7.8,8.4,0,206,1.0344,1.1063,-0.3298,0.0147
MELI,37.03,QMB080621C00040000,call,06/21/2008,01/31/2008,40.0,8.7,8.2,8.9,13,78,1.0004,1.0777,0.5925,0.016
MELI,37.03,QMB080621P00040000,put,06/21/2008,01/31/2008,40.0,10.8,10.6,11.3,1,191,1.004,1.0821,-0.409,0.0161
MELI,37.03,QMB080621C00045000,call,06/21/2008,01/31/2008,45.0,6.8,6.5,7.2,30,115,0.9795,1.0551,0.5164,0.0168
MELI,37.03,QMB080621P00045000,put,06/21/2008,01/31/2008,45.0,14.5,13.8,14.6,0,135,0.9803,1.0674,-0.4848,0.0169
MELI,37.03,QMB080621C00050000,call,06/21/2008,01/31/2008,50.0,5.5,5.1,5.7,18,174,0.9588,1.0253,0.4446,0.017
MELI,37.03,QMB080621P00050000,put,06/21/2008,01/31/2008,50.0,17.0,17.5,18.2,0,193,0.9789,1.0558,-0.5548,0.0169
MELI,37.03,QMB080621C00055000,call,06/21/2008,01/31/2008,55.0,3.4,4.0,4.6,30,267,0.9431,1.0119,0.3785,0.0167
